aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,3
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3
antelope,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
    bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,3
    bear,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
    boar,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
 buffalo,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
    calf,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
